seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
512,0.7,10,10,5,16,causal,False,False,True,relu,False,0.03,1.2,uniform,0.13848384992161436
512,0.7,10,10,5,16,causal,True,False,False,gelu,True,0.03,0.5,normal,0.1384859131050564
512,0.7,10,10,5,16,head,False,True,True,relu,True,0.005,0.5,normal,0.10446898023702979
512,0.7,10,10,5,16,head,False,True,True,tanh,True,0.03,1.2,uniform,0.07963754074914783
512,0.7,10,10,5,64,head,False,False,True,relu,True,0.005,1.2,normal,0.42678790749409834
512,0.7,10,10,5,64,head,True,False,True,gelu,False,0.03,1.2,uniform,0.19754957950112148
512,0.7,10,10,5,64,head,True,True,True,gelu,False,0.005,0.5,normal,0.3821085918745509
512,0.7,10,10,5,64,roots,False,True,False,tanh,True,0.005,1.2,uniform,0.5441561792820282
512,0.7,10,20,2,16,causal,True,True,True,relu,True,0.03,1.2,uniform,0.23543277966000994
512,0.7,10,20,2,16,head,True,False,True,relu,True,0.005,0.5,uniform,0.11345584607646783
512,0.7,10,20,2,64,causal,False,False,False,gelu,False,0.005,0.5,uniform,0.43082555556232727
512,0.7,10,20,2,64,head,False,True,False,gelu,False,0.005,1.2,uniform,0.40795501452659244
512,0.7,10,20,2,64,head,True,False,False,relu,False,0.005,1.2,normal,0.7454185191370525
512,0.7,10,20,5,16,head,True,False,True,gelu,True,0.03,1.2,normal,0.07048615470894407
512,0.7,10,20,5,64,causal,True,True,False,relu,True,0.005,0.5,uniform,0.3893398580564831
512,0.7,10,20,5,64,head,False,True,False,tanh,True,0.005,1.2,uniform,0.5048558592725891
512,0.7,10,20,5,64,head,True,True,True,relu,True,0.03,1.2,uniform,0.4069895672122433
512,0.7,20,10,2,16,causal,False,False,True,gelu,True,0.03,0.5,normal,0.16143225689202417
512,0.7,20,10,2,16,causal,True,False,True,gelu,False,0.005,0.5,normal,0.16105901004933582
512,0.7,20,10,2,64,causal,False,False,False,tanh,True,0.03,1.2,normal,0.3368233126710345
512,0.7,20,10,2,64,head,False,False,False,gelu,True,0.03,0.5,uniform,0.11136077188016606
512,0.7,20,10,2,64,head,False,True,False,tanh,False,0.03,0.5,normal,0.2503366393748306
512,0.7,20,10,5,16,causal,False,False,True,tanh,True,0.03,1.2,uniform,0.17487893541246016
512,0.7,20,10,5,64,head,True,False,False,tanh,False,0.03,1.2,normal,0.5588323810534703
512,0.7,20,20,2,16,causal,False,False,True,tanh,False,0.03,1.2,uniform,0.1648999759905166
512,0.7,20,20,2,16,head,True,True,True,tanh,True,0.03,0.5,normal,0.09173444406969511
512,0.7,20,20,2,16,roots,False,True,False,relu,False,0.005,1.2,uniform,0.21562752591852202
512,0.7,20,20,2,64,head,False,False,True,relu,True,0.03,0.5,normal,0.4539035938365704
512,0.7,20,20,2,64,head,False,False,True,relu,True,0.03,1.2,uniform,0.2678651670589641
512,0.7,20,20,2,64,roots,False,False,False,relu,False,0.005,0.5,normal,0.38568615588794763
512,0.7,20,20,2,64,roots,True,False,True,relu,False,0.005,0.5,uniform,0.2430602699788365
512,0.7,20,20,5,16,head,False,True,True,tanh,True,0.03,0.5,normal,0.04413376859154089
512,0.7,20,20,5,16,roots,False,True,False,relu,True,0.03,0.5,normal,0.7610229864546163
512,0.7,20,20,5,64,causal,False,True,False,relu,True,0.005,1.2,normal,0.4501857755459264
512,0.7,20,20,5,64,causal,True,False,True,relu,True,0.005,0.5,uniform,0.30902675876257196
